ID;Medicamento;Dosis;Presentación;Marca;Farmacía;Precio;Dirección;Comuna;Región
9894;LOSAPRES;50 mg;30 COMPRIMIDOS RECUBIERTOS;PHARMA INVESTI DE CHILE S.A.;Cruz Verde;22890;Antonio Varas 598;Puerto Montt;Los Lagos
9895;HIPOLIXAN;20 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIO PASTEUR S.A.;Cruz Verde;12990;Antonio Varas 598;Puerto Montt;Los Lagos
9896;ALPRAZOLAM; 0,5 mg;30 COMPRIMIDOS;MINTLAB Co. S.A.;Cruz Verde;1290;Antonio Varas 598;Puerto Montt;Los Lagos
9897;ATENOLOL;100 mg;20 COMPRIMIDOS;MINTLAB Co. S.A.;Cruz Verde;1590;Antonio Varas 598;Puerto Montt;Los Lagos
9898;KETOPROFENO;50 mg;20 CÁPSULAS;MINTLAB Co. S.A.;Cruz Verde;1590;Antonio Varas 598;Puerto Montt;Los Lagos
9899;SYNDOL;30 mg/mL;5 SOLUCIÓN INYECTABLE;PHARMA INVESTI DE CHILE S.A.;Cruz Verde;16090;Antonio Varas 598;Puerto Montt;Los Lagos
9900;CIPROFLOXACINO;500 mg;6 COMPRIMIDOS RECUBIERTOS;MINTLAB Co. S.A.;Cruz Verde;890;Antonio Varas 598;Puerto Montt;Los Lagos
9901;SOMNO;10 mg;30 COMPRIMIDOS RECUBIERTOS;EUROLAB LTDA.;Cruz Verde;30790;Antonio Varas 598;Puerto Montt;Los Lagos
9902;TREX;500 mg;3 COMPRIMIDOS RECUBIERTOS;EUROLAB LTDA.;Cruz Verde;13190;Antonio Varas 598;Puerto Montt;Los Lagos
9903;TREX;500 mg;6 COMPRIMIDOS RECUBIERTOS;EUROLAB LTDA.;Cruz Verde;19790;Antonio Varas 598;Puerto Montt;Los Lagos
9904;ENALAPRIL MALEATO;5 mg;20 COMPRIMIDOS;MINTLAB Co. S.A.;Cruz Verde;1490;Antonio Varas 598;Puerto Montt;Los Lagos
9905;ALFIN;50 mg;1 COMPRIMIDOS RECUBIERTOS;INSTITUTO SANITAS S.A.;Cruz Verde;1990;Antonio Varas 598;Puerto Montt;Los Lagos
9906;ALFIN;50 mg;5 COMPRIMIDOS RECUBIERTOS;INSTITUTO SANITAS S.A.;Cruz Verde;8990;Antonio Varas 598;Puerto Montt;Los Lagos
9907;ALFIN;100 mg;1 COMPRIMIDOS RECUBIERTOS;INSTITUTO SANITAS S.A.;Cruz Verde;5190;Antonio Varas 598;Puerto Montt;Los Lagos
9908;ALFIN;100 mg;5 COMPRIMIDOS RECUBIERTOS;INSTITUTO SANITAS S.A.;Cruz Verde;12390;Antonio Varas 598;Puerto Montt;Los Lagos
9909;TRAVIATA;20 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIOS ANDRÓMACO S.A.;Cruz Verde;39790;Antonio Varas 598;Puerto Montt;Los Lagos
9910;REMITEX;10 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIO BAGÓ DE CHILE S.A.;Cruz Verde;13590;Antonio Varas 598;Puerto Montt;Los Lagos
9911;FLUOXETINA;20 mg;20 COMPRIMIDOS;MINTLAB Co. S.A.;Cruz Verde;1190;Antonio Varas 598;Puerto Montt;Los Lagos
9912;CRISMOL; 2 mg;30 COMPRIMIDOS;PHARMA INVESTI DE CHILE S.A.;Cruz Verde;7490;Antonio Varas 598;Puerto Montt;Los Lagos
9913;LEODRIN;70 mg;12 COMPRIMIDOS RECUBIERTOS;LABORATORIOS LAFI LTDA.;Cruz Verde;18990;Antonio Varas 598;Puerto Montt;Los Lagos
9914;D-HISTAPLUS;5 mg;30 COMPRIMIDOS;LABORATORIO PASTEUR S.A.;Cruz Verde;6990;Antonio Varas 598;Puerto Montt;Los Lagos
9915;D-HISTAPLUS;2,5 mg/5 ml;100 ml JARABE;LABORATORIO PASTEUR S.A.;Cruz Verde;5190;Antonio Varas 598;Puerto Montt;Los Lagos
9916;VIORA;s/i;21 COMPRIMIDOS RECUBIERTOS;EXELTIS CHILE S.p.A.;Cruz Verde;14040;Antonio Varas 598;Puerto Montt;Los Lagos
9917;ASVENTOL;10 mg;30 COMPRIMIDOS;LABORATORIO CHILE S.A.;Cruz Verde;19890;Antonio Varas 598;Puerto Montt;Los Lagos
9918;ARADIX;10 mg;30 COMPRIMIDOS;LABORATORIOS LAFI LTDA.;Cruz Verde;22440;Antonio Varas 598;Puerto Montt;Los Lagos
9919;IBUPROFENO;400 mg;20 COMPRIMIDOS RECUBIERTOS;OPKO CHILE S.A.;Cruz Verde;1240;Antonio Varas 598;Puerto Montt;Los Lagos
9920;DEPRAX;100 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIOS SAVAL S.A.;Cruz Verde;24490;Antonio Varas 598;Puerto Montt;Los Lagos
9921;CARBAMAZEPINA;200 mg;20 COMPRIMIDOS;MINTLAB Co. S.A.;Cruz Verde;2090;Antonio Varas 598;Puerto Montt;Los Lagos
9922;PIPLEX;20 mg;30 CÁPSULAS BLANDAS;LABORATORIOS LAFI LTDA.;Cruz Verde;45990;Antonio Varas 598;Puerto Montt;Los Lagos
9923;CEFADROXILO;500 mg;8 CÁPSULAS;MINTLAB Co. S.A.;Cruz Verde;1890;Antonio Varas 598;Puerto Montt;Los Lagos
9924;CLORFENAMINA MALEATO; 4 mg;20 COMPRIMIDOS;MINTLAB Co. S.A.;Cruz Verde;640;Antonio Varas 598;Puerto Montt;Los Lagos
9925;TRIMEBUTINA;100 mg;20 COMPRIMIDOS;LABORATORIOS ANDRÓMACO S.A.;Cruz Verde;1540;Antonio Varas 598;Puerto Montt;Los Lagos
9926;CIMAL;20 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIOS LAFI LTDA.;Cruz Verde;19990;Antonio Varas 598;Puerto Montt;Los Lagos
9927;SPIRON;1 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIOS ANDRÓMACO S.A.;Cruz Verde;28240;Antonio Varas 598;Puerto Montt;Los Lagos
9928;GENIOL;500 mg;20 COMPRIMIDOS;MINTLAB Co. S.A.;Cruz Verde;990;Antonio Varas 598;Puerto Montt;Los Lagos
9929;FELSOL;150 mg;1 CÁPSULAS;LABORATORIO PASTEUR S.A.;Cruz Verde;5890;Antonio Varas 598;Puerto Montt;Los Lagos
9930;FELSOL;150 mg;2 CÁPSULAS;LABORATORIO PASTEUR S.A.;Cruz Verde;8590;Antonio Varas 598;Puerto Montt;Los Lagos
9931;FELSOL;150 mg;4 CÁPSULAS;LABORATORIO PASTEUR S.A.;Cruz Verde;12790;Antonio Varas 598;Puerto Montt;Los Lagos
9932;CLOZANIL; 0,5 mg;30 COMPRIMIDOS;INSTITUTO SANITAS S.A.;Cruz Verde;3890;Antonio Varas 598;Puerto Montt;Los Lagos
9933;CLOZANIL; 2 mg;30 COMPRIMIDOS;INSTITUTO SANITAS S.A.;Cruz Verde;7190;Antonio Varas 598;Puerto Montt;Los Lagos
9934;LIFTER;100 mg;5 COMPRIMIDOS RECUBIERTOS;LABORATORIOS SAVAL S.A.;Cruz Verde;29140;Antonio Varas 598;Puerto Montt;Los Lagos
9935;DUALTEN;12,5 mg;30 COMPRIMIDOS;EUROLAB LTDA.;Cruz Verde;16790;Antonio Varas 598;Puerto Montt;Los Lagos
9936;SPIRON; 3 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIOS ANDRÓMACO S.A.;Cruz Verde;29290;Antonio Varas 598;Puerto Montt;Los Lagos
9937;DUALTEN;6,25 mg;30 COMPRIMIDOS;EUROLAB LTDA.;Cruz Verde;8240;Antonio Varas 598;Puerto Montt;Los Lagos
9938;ENALTEN;20 mg;30 COMPRIMIDOS;EUROLAB LTDA.;Cruz Verde;21390;Antonio Varas 598;Puerto Montt;Los Lagos
9939;ACTAN;20 mg;60 CÁPSULAS;EUROLAB LTDA.;Cruz Verde;32290;Antonio Varas 598;Puerto Montt;Los Lagos
9940;ENALTEN;10 mg;30 COMPRIMIDOS;EUROLAB LTDA.;Cruz Verde;18370;Antonio Varas 598;Puerto Montt;Los Lagos
9941;SULIX; 0,4 mg;60 COMPRIMIDOS DE LIBERACIÓN PROLONGADA;SYNTHON CHILE LTDA.;Cruz Verde;21990;Antonio Varas 598;Puerto Montt;Los Lagos
9942;SIBILLA;s/i;21 COMPRIMIDOS RECUBIERTOS;COMERCIAL GEDEON RICHTER (CHILE) LTDA.;Cruz Verde;7090;Antonio Varas 598;Puerto Montt;Los Lagos
9943;ESCITALOPRAM; 10 mg;30 COMPRIMIDOS RECUBIERTOS;MINTLAB Co. S.A.;Cruz Verde;9390;Antonio Varas 598;Puerto Montt;Los Lagos
9944;LEVEVITAE;500 mg;30 COMPRIMIDOS RECUBIERTOS;GALENICUM HEALTH CHILE S.p.A.;Cruz Verde;16790;Antonio Varas 598;Puerto Montt;Los Lagos
9945;AMOXICILINA / ÁCIDO CLAVULANICO 500/125;500/125;20 COMPRIMIDOS RECUBIERTOS;LABORATORIO HOSPIFARMA CHILE LTDA.;Cruz Verde;7590;Antonio Varas 598;Puerto Montt;Los Lagos
9946;SERTAC;100 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIOS ANDRÓMACO S.A.;Cruz Verde;21690;Antonio Varas 598;Puerto Montt;Los Lagos
9947;AMOLEX DUO 875/125;875/125;14 COMPRIMIDOS RECUBIERTOS;LABORATORIOS ANDRÓMACO S.A.;Cruz Verde;22190;Antonio Varas 598;Puerto Montt;Los Lagos
9948;AMOLEX DUO 875/125;875/125;20 COMPRIMIDOS RECUBIERTOS;LABORATORIOS ANDRÓMACO S.A.;Cruz Verde;25090;Antonio Varas 598;Puerto Montt;Los Lagos
9949;MADOZIDE;200/50;30 COMPRIMIDOS;LABORATORIO CHILE S.A.;Cruz Verde;18590;Antonio Varas 598;Puerto Montt;Los Lagos
9950;ORALNE; 5 mg;30 CÁPSULAS BLANDAS;DEUTSCHE PHARMA S.A.;Cruz Verde;16290;Antonio Varas 598;Puerto Montt;Los Lagos
9951;LEVOXIN;500 mg;7 COMPRIMIDOS RECUBIERTOS;EUROFARMA CHILE S.A.;Cruz Verde;15290;Antonio Varas 598;Puerto Montt;Los Lagos
9952;LEVOXIN;500 mg;10 COMPRIMIDOS RECUBIERTOS;EUROFARMA CHILE S.A.;Cruz Verde;14790;Antonio Varas 598;Puerto Montt;Los Lagos
9953;ATORVASTATINA; 10 mg;30 COMPRIMIDOS RECUBIERTOS;OPKO CHILE S.A.;Cruz Verde;2290;Antonio Varas 598;Puerto Montt;Los Lagos
9954;MIO-RELAX;10 mg;10 COMPRIMIDOS RECUBIERTOS;EUROFARMA CHILE S.A.;Cruz Verde;4990;Antonio Varas 598;Puerto Montt;Los Lagos
9955;MIO-RELAX;10 mg;20 COMPRIMIDOS RECUBIERTOS;EUROFARMA CHILE S.A.;Cruz Verde;4990;Antonio Varas 598;Puerto Montt;Los Lagos
9956;ROSIMOL;10 mg;30 COMPRIMIDOS RECUBIERTOS;NOVARTIS CHILE S.A.;Cruz Verde;15990;Antonio Varas 598;Puerto Montt;Los Lagos
9957;PICLOKARE;75 mg;28 COMPRIMIDOS RECUBIERTOS;ETEX FARMACÉUTICA LTDA.;Cruz Verde;15990;Antonio Varas 598;Puerto Montt;Los Lagos
9958;HIPOGLUCIN;750 mg;30 COMPRIMIDOS DE LIBERACIÓN PROLONGADA;LABORATORIO CHILE S.A.;Cruz Verde;12190;Antonio Varas 598;Puerto Montt;Los Lagos
9959;HIPOGLUCIN;750 mg;60 COMPRIMIDOS DE LIBERACIÓN PROLONGADA;LABORATORIO CHILE S.A.;Cruz Verde;18940;Antonio Varas 598;Puerto Montt;Los Lagos
9960;AZYMOL; 5 mg;30 COMPRIMIDOS;LABORATORIOS RECALCINE S.A.;Cruz Verde;33290;Antonio Varas 598;Puerto Montt;Los Lagos
9961;FAMOTIDINA;40 mg;10 COMPRIMIDOS RECUBIERTOS;OPKO CHILE S.A.;Cruz Verde;790;Antonio Varas 598;Puerto Montt;Los Lagos
9962;NEURYL; 0,5 mg;30 COMPRIMIDOS;LABORATORIO BAGÓ DE CHILE S.A.;Cruz Verde;6690;Antonio Varas 598;Puerto Montt;Los Lagos
9963;VASTUS;5 mg;30 COMPRIMIDOS RECUBIERTOS;TECNOFARMA S.A.;Cruz Verde;15490;Antonio Varas 598;Puerto Montt;Los Lagos
9964;IBANOX;150 mg;1 COMPRIMIDOS RECUBIERTOS;LABORATORIO PASTEUR S.A.;Cruz Verde;20090;Antonio Varas 598;Puerto Montt;Los Lagos
9965;RISPYL; 3 mg;20 COMPRIMIDOS RECUBIERTOS;AXON PHARMA S.p.A.;Cruz Verde;19490;Antonio Varas 598;Puerto Montt;Los Lagos
9966;ENALAPRIL MALEATO;10 mg;20 COMPRIMIDOS;OPKO CHILE S.A.;Cruz Verde;690;Antonio Varas 598;Puerto Montt;Los Lagos
9967;CITALOPRAM;20 mg;30 COMPRIMIDOS;MINTLAB Co. S.A.;Cruz Verde;7090;Antonio Varas 598;Puerto Montt;Los Lagos
9968;DOMPERIDONA;10 mg;20 COMPRIMIDOS;OPKO CHILE S.A.;Cruz Verde;1090;Antonio Varas 598;Puerto Montt;Los Lagos
9969;ESCITALOPRAM;10 mg;30 COMPRIMIDOS RECUBIERTOS;MINTLAB Co. S.A.;Cruz Verde;9390;Antonio Varas 598;Puerto Montt;Los Lagos
9970;BIOPSOL;0,25 mg;30 COMPRIMIDOS;LABORATORIOS RECALCINE S.A.;Cruz Verde;13390;Antonio Varas 598;Puerto Montt;Los Lagos
9971;LOWDEN;40 mg;30 COMPRIMIDOS RECUBIERTOS;EUROLAB LTDA.;Cruz Verde;24990;Antonio Varas 598;Puerto Montt;Los Lagos
9972;MAILEN;5 mg;30 COMPRIMIDOS RECUBIERTOS;PHARMA INVESTI DE CHILE S.A.;Cruz Verde;9990;Antonio Varas 598;Puerto Montt;Los Lagos
9973;ALEXIA FORTE;180 mg;10 COMPRIMIDOS RECUBIERTOS;LABORATORIOS SAVAL S.A.;Cruz Verde;12990;Antonio Varas 598;Puerto Montt;Los Lagos
9974;ALEXIA FORTE;180 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIOS SAVAL S.A.;Cruz Verde;24540;Antonio Varas 598;Puerto Montt;Los Lagos
9975;NEOHYSTICLAR;5 mg;30 COMPRIMIDOS RECUBIERTOS;MINTLAB Co. S.A.;Cruz Verde;4290;Antonio Varas 598;Puerto Montt;Los Lagos
9976;ZENTIUS;20 mg;30 COMPRIMIDOS RECUBIERTOS;PHARMA INVESTI DE CHILE S.A.;Cruz Verde;19390;Antonio Varas 598;Puerto Montt;Los Lagos
9977;TOPREL;100 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIOS LAFI LTDA.;Cruz Verde;55990;Antonio Varas 598;Puerto Montt;Los Lagos
9978;ECTIBAN;10 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIO CHILE S.A.;Cruz Verde;15990;Antonio Varas 598;Puerto Montt;Los Lagos
9979;VALAPLEX;80 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIO CHILE S.A.;Cruz Verde;16240;Antonio Varas 598;Puerto Montt;Los Lagos
9980;VALAPLEX;160 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIO CHILE S.A.;Cruz Verde;16140;Antonio Varas 598;Puerto Montt;Los Lagos
9981;PROCION;20 mg;20 COMPRIMIDOS;MEDIPHARM LTDA.;Cruz Verde;5390;Antonio Varas 598;Puerto Montt;Los Lagos
9982;PROPRANOLOL CLORHIDRATO;10 mg;20 COMPRIMIDOS;MINTLAB Co. S.A.;Cruz Verde;990;Antonio Varas 598;Puerto Montt;Los Lagos
9983;CORODIN;100 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIOS LAFI LTDA.;Cruz Verde;15990;Antonio Varas 598;Puerto Montt;Los Lagos
9984;INFEX;500 mg;14 COMPRIMIDOS RECUBIERTOS;LABORATORIOS LAFI LTDA.;Cruz Verde;20490;Antonio Varas 598;Puerto Montt;Los Lagos
9985;INFEX;500 mg;20 COMPRIMIDOS RECUBIERTOS;LABORATORIOS LAFI LTDA.;Cruz Verde;22490;Antonio Varas 598;Puerto Montt;Los Lagos
9986;QUETIDIN;25 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIOS RECALCINE S.A.;Cruz Verde;19990;Antonio Varas 598;Puerto Montt;Los Lagos
9987;QUETIDIN;100 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIOS RECALCINE S.A.;Cruz Verde;39890;Antonio Varas 598;Puerto Montt;Los Lagos
9988;QUETIDIN;200 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIOS RECALCINE S.A.;Cruz Verde;61690;Antonio Varas 598;Puerto Montt;Los Lagos
9989;HIDROCLOROTIAZIDA;50 mg;20 COMPRIMIDOS;LABORATORIO CHILE S.A.;Cruz Verde;1190;Antonio Varas 598;Puerto Montt;Los Lagos
9990;IPRAN;10 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIOS RECALCINE S.A.;Cruz Verde;23990;Antonio Varas 598;Puerto Montt;Los Lagos
9991;IPRAN;20 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIOS RECALCINE S.A.;Cruz Verde;31990;Antonio Varas 598;Puerto Montt;Los Lagos
9992;NIPOLEN;4 mg;20 COMPRIMIDOS;MINTLAB Co. S.A.;Cruz Verde;1990;Antonio Varas 598;Puerto Montt;Los Lagos
9993;ZILFIC;100 mg;1 COMPRIMIDOS RECUBIERTOS;MINTLAB Co. S.A.;Cruz Verde;4190;Antonio Varas 598;Puerto Montt;Los Lagos
9994;ZILFIC;100 mg;5 COMPRIMIDOS RECUBIERTOS;MINTLAB Co. S.A.;Cruz Verde;10990;Antonio Varas 598;Puerto Montt;Los Lagos
9995;LOSAPRES;100 mg;30 COMPRIMIDOS RECUBIERTOS;PHARMA INVESTI DE CHILE S.A.;Cruz Verde;17390;Antonio Varas 598;Puerto Montt;Los Lagos
9996;CARVEDILOL;25 mg;30 COMPRIMIDOS;LABORATORIO CHILE S.A.;Cruz Verde;4990;Antonio Varas 598;Puerto Montt;Los Lagos
9997;CLARITROMICINA;500 mg;14 COMPRIMIDOS RECUBIERTOS;LABORATORIOS ANDRÓMACO S.A.;Cruz Verde;4990;Antonio Varas 598;Puerto Montt;Los Lagos
9998;MOXAVAL;400 mg;7 COMPRIMIDOS RECUBIERTOS;LABORATORIOS SAVAL S.A.;Cruz Verde;36390;Antonio Varas 598;Puerto Montt;Los Lagos
9999;MOXAVAL;400 mg;10 COMPRIMIDOS RECUBIERTOS;LABORATORIOS SAVAL S.A.;Cruz Verde;45590;Antonio Varas 598;Puerto Montt;Los Lagos
10000;ACEBRON;4 mg;20 COMPRIMIDOS;LABORATORIOS RECALCINE S.A.;Cruz Verde;18990;Antonio Varas 598;Puerto Montt;Los Lagos
10001;AZITROMICINA;500 mg;3 COMPRIMIDOS RECUBIERTOS;MINTLAB Co. S.A.;Cruz Verde;1490;Antonio Varas 598;Puerto Montt;Los Lagos
10002;AZITROMICINA;500 mg;6 COMPRIMIDOS RECUBIERTOS;MINTLAB Co. S.A.;Cruz Verde;2390;Antonio Varas 598;Puerto Montt;Los Lagos
10003;LEVOFLOXACINO;500 mg;7 COMPRIMIDOS RECUBIERTOS;LABORATORIO CHILE S.A.;Cruz Verde;5090;Antonio Varas 598;Puerto Montt;Los Lagos
10004;SULIX; 0,4 mg;30 CÁPSULAS CON GRÁNULOS RECUBIERTOS DE LIBERACIÓN PROLONGADA;SYNTHON CHILE LTDA.;Cruz Verde;11490;Antonio Varas 598;Puerto Montt;Los Lagos
10005;SULIX; 0,4 mg;60 CÁPSULAS CON GRÁNULOS RECUBIERTOS DE LIBERACIÓN PROLONGADA;SYNTHON CHILE LTDA.;Cruz Verde;23990;Antonio Varas 598;Puerto Montt;Los Lagos
10006;GLAUPAX;850 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIO PASTEUR S.A.;Cruz Verde;5390;Antonio Varas 598;Puerto Montt;Los Lagos
10007;GLAUPAX;500 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIO PASTEUR S.A.;Cruz Verde;5390;Antonio Varas 598;Puerto Montt;Los Lagos
10008;ILTUX;40 mg;28 COMPRIMIDOS RECUBIERTOS;TECNOFARMA S.A.;Cruz Verde;16490;Antonio Varas 598;Puerto Montt;Los Lagos
10009;NEURYL; 2 mg;30 COMPRIMIDOS;LABORATORIO BAGÓ DE CHILE S.A.;Cruz Verde;11190;Antonio Varas 598;Puerto Montt;Los Lagos
10010;SULIX L.C.; 0,4 mg;60 COMPRIMIDOS DE LIBERACIÓN PROLONGADA;SYNTHON CHILE LTDA.;Cruz Verde;21990;Antonio Varas 598;Puerto Montt;Los Lagos
10011;LIFTER;50 mg;1 COMPRIMIDOS RECUBIERTOS;LABORATORIOS SAVAL S.A.;Cruz Verde;1490;Antonio Varas 598;Puerto Montt;Los Lagos
10012;LIFTER;50 mg;10 COMPRIMIDOS RECUBIERTOS;LABORATORIOS SAVAL S.A.;Cruz Verde;24340;Antonio Varas 598;Puerto Montt;Los Lagos
10013;NEPOKARE;5 mg;30 COMPRIMIDOS RECUBIERTOS;ETEX FARMACÉUTICA LTDA.;Cruz Verde;29990;Antonio Varas 598;Puerto Montt;Los Lagos
10014;NEPOKARE;10 mg;30 COMPRIMIDOS RECUBIERTOS;ETEX FARMACÉUTICA LTDA.;Cruz Verde;34990;Antonio Varas 598;Puerto Montt;Los Lagos
10015;BETAPLEX;12,5 mg;30 COMPRIMIDOS;LABORATORIOS LAFI LTDA.;Cruz Verde;14990;Antonio Varas 598;Puerto Montt;Los Lagos
10016;GLIFORTEX;850 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIOS ANDRÓMACO S.A.;Cruz Verde;8260;Antonio Varas 598;Puerto Montt;Los Lagos
10017;GLIFORTEX;850 mg;60 COMPRIMIDOS RECUBIERTOS;LABORATORIOS ANDRÓMACO S.A.;Cruz Verde;14890;Antonio Varas 598;Puerto Montt;Los Lagos
10018;AMPINO;10 mg;30 COMPRIMIDOS;LABORATORIOS SAVAL S.A.;Cruz Verde;12590;Antonio Varas 598;Puerto Montt;Los Lagos
10019;IBUPIRAC LC;400 mg;20 CÁPSULAS BLANDAS;CHEMOPHARMA S.A.;Cruz Verde;4290;Antonio Varas 598;Puerto Montt;Los Lagos
10020;IBUPIRAC LC;600 mg;10 CÁPSULAS BLANDAS;CHEMOPHARMA S.A.;Cruz Verde;6590;Antonio Varas 598;Puerto Montt;Los Lagos
10021;DROLSAN;200 mg;30 COMPRIMIDOS RECUBIERTOS;MINTLAB Co. S.A.;Cruz Verde;16900;Antonio Varas 598;Puerto Montt;Los Lagos
10022;LUCASTE; 4 mg;30 COMPRIMIDOS MASTICABLES;EUROFARMA CHILE S.A.;Cruz Verde;12990;Antonio Varas 598;Puerto Montt;Los Lagos
10023;LUCASTE; 5 mg;30 COMPRIMIDOS MASTICABLES;EUROFARMA CHILE S.A.;Cruz Verde;16490;Antonio Varas 598;Puerto Montt;Los Lagos
10024;CERCIORA T;0,75 mg;2 COMPRIMIDOS;EXELTIS CHILE S.p.A.;Cruz Verde;12990;Antonio Varas 598;Puerto Montt;Los Lagos
10025;VALVITAE;80 mg;28 COMPRIMIDOS RECUBIERTOS;GALENICUM HEALTH CHILE S.p.A.;Cruz Verde;14790;Antonio Varas 598;Puerto Montt;Los Lagos
10026;VALVITAE;160 mg;28 COMPRIMIDOS RECUBIERTOS;GALENICUM HEALTH CHILE S.p.A.;Cruz Verde;14290;Antonio Varas 598;Puerto Montt;Los Lagos
10027;ESC;10 mg;30 COMPRIMIDOS RECUBIERTOS;EUROFARMA CHILE S.A.;Cruz Verde;10490;Antonio Varas 598;Puerto Montt;Los Lagos
10028;COXDOS;200 mg;30 CÁPSULAS;LABORATORIOS ANDRÓMACO S.A.;Cruz Verde;24490;Antonio Varas 598;Puerto Montt;Los Lagos
10029;CARDIOLEN;80 mg;20 CÁPSULAS;INSTITUTO SANITAS S.A.;Cruz Verde;15490;Antonio Varas 598;Puerto Montt;Los Lagos
10030;CARDIOLEN;120 mg;20 CÁPSULAS;INSTITUTO SANITAS S.A.;Cruz Verde;20570;Antonio Varas 598;Puerto Montt;Los Lagos
10031;LODIPRES;25 mg;30 COMPRIMIDOS;LABORATORIO CHILE S.A.;Cruz Verde;16890;Antonio Varas 598;Puerto Montt;Los Lagos
10032;ENALTEN; 5 mg;30 COMPRIMIDOS;EUROLAB LTDA.;Cruz Verde;16560;Antonio Varas 598;Puerto Montt;Los Lagos
10033;LOWDEN;20 mg;30 COMPRIMIDOS RECUBIERTOS;EUROLAB LTDA.;Cruz Verde;20990;Antonio Varas 598;Puerto Montt;Los Lagos
10034;LOWDEN;20 mg;60 COMPRIMIDOS RECUBIERTOS;EUROLAB LTDA.;Cruz Verde;40390;Antonio Varas 598;Puerto Montt;Los Lagos
10035;LAFIGIN;25 mg;30 COMPRIMIDOS;LABORATORIOS LAFI LTDA.;Cruz Verde;15460;Antonio Varas 598;Puerto Montt;Los Lagos
10036;LAFIGIN;50 mg;30 COMPRIMIDOS;LABORATORIOS LAFI LTDA.;Cruz Verde;24690;Antonio Varas 598;Puerto Montt;Los Lagos
10037;INFLADER;10 mg;30 CÁPSULAS BLANDAS;PHARMA INVESTI DE CHILE S.A.;Cruz Verde;23190;Antonio Varas 598;Puerto Montt;Los Lagos
10038;DEZARTAL;6 mg;30 COMPRIMIDOS;GRÜNENTHAL CHILENA LTDA.;Cruz Verde;30290;Antonio Varas 598;Puerto Montt;Los Lagos
10039;FAMOTIDINA;20 mg;20 COMPRIMIDOS RECUBIERTOS;LABORATORIO CHILE S.A.;Cruz Verde;890;Antonio Varas 598;Puerto Montt;Los Lagos
10040;GESIX;200 mg;10 CÁPSULAS;LABORATORIOS SAVAL S.A.;Cruz Verde;9490;Antonio Varas 598;Puerto Montt;Los Lagos
10041;GESIX;200 mg;30 CÁPSULAS;LABORATORIOS SAVAL S.A.;Cruz Verde;21990;Antonio Varas 598;Puerto Montt;Los Lagos
10042;LADEE;s/i;28 COMPRIMIDOS RECUBIERTOS;EXELTIS CHILE S.p.A.;Cruz Verde;15090;Antonio Varas 598;Puerto Montt;Los Lagos
10043;DEZARTAL;30 mg;20 COMPRIMIDOS;GRÜNENTHAL CHILENA LTDA.;Cruz Verde;57790;Antonio Varas 598;Puerto Montt;Los Lagos
10044;DANIELE;s/i;28 COMPRIMIDOS RECUBIERTOS;EXELTIS CHILE S.p.A.;Cruz Verde;11490;Antonio Varas 598;Puerto Montt;Los Lagos
10045;DOSARA;160 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIOS ANDRÓMACO S.A.;Cruz Verde;13490;Antonio Varas 598;Puerto Montt;Los Lagos
10046;DOSARA;80 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIOS ANDRÓMACO S.A.;Cruz Verde;13390;Antonio Varas 598;Puerto Montt;Los Lagos
10047;LADEE 20;s/i;28 COMPRIMIDOS RECUBIERTOS;EXELTIS CHILE S.p.A.;Cruz Verde;13990;Antonio Varas 598;Puerto Montt;Los Lagos
10048;TAPSIN PURO;500 mg;16 COMPRIMIDOS;LABORATORIO MAVER S.A.;Cruz Verde;1090;Antonio Varas 598;Puerto Montt;Los Lagos
10049;PLENITEX;75 mg;30 CÁPSULAS;LABORATORIOS RAFFO S.A.;Cruz Verde;11290;Antonio Varas 598;Puerto Montt;Los Lagos
10050;LOWDEN;10 mg;60 COMPRIMIDOS RECUBIERTOS;EUROLAB LTDA.;Cruz Verde;29590;Antonio Varas 598;Puerto Montt;Los Lagos
